participant,FP,logFP,condition,FPType,conFPDur,orientation,prevOri,seqOri,oneBackFP,block,countBalance,condTestPos,meanRT,meanLogRT,meanRTzscore,meanInvRT,numFP,numOneBackFP,numLogFP,squaredNumFP,squaredNumLogFP,scaledNumFP,squaredScaledNumFP,scaledNumOneBackFP
2,1,0,external,variable,NA,right,right,same,1,2,2,1,0.45052826404571533,-0.34711734823838175,0.2284870838281492,2.228274697066617,1,1,0,1,0,-1.01525955503275,1.0307519640852973,-0.9968304199190299
2,1,0,external,variable,NA,right,right,same,1,3,2,1,0.4640190601348877,-0.3363424536373115,0.4108759773257319,2.1838395521473957,1,1,0,1,0,-1.01525955503275,1.0307519640852973,-0.9968304199190299
2,1,0,external,variable,NA,right,right,same,2.8,2,2,1,0.4401105642318725,-0.3565187508403909,0.08764493268469303,2.2729992634451364,1,2.8,0,1,0,-1.01525955503275,1.0307519640852973,0.9968304199190299
2,1,0,external,variable,NA,right,right,same,2.8,3,2,1,0.5558839639027913,-0.2602731409082994,1.65284405976806,1.844743985050744,1,2.8,0,1,0,-1.01525955503275,1.0307519640852973,0.9968304199190299
2,1,0,external,variable,NA,right,left,different,1,2,2,1,0.4373490810394287,-0.3591717816798778,0.050311045154791574,2.286503032367973,1,1,0,1,0,-1.01525955503275,1.0307519640852973,-0.9968304199190299
2,1,0,external,variable,NA,right,left,different,1,3,2,1,0.3775895237922668,-0.42422113898028285,-0.7576086246831633,2.66371725287841,1,1,0,1,0,-1.01525955503275,1.0307519640852973,-0.9968304199190299
2,1,0,external,variable,NA,right,left,different,2.8,2,2,1,0.49585241079330444,-0.3090882652227876,0.8412471403417586,2.056924330846,1,2.8,0,1,0,-1.01525955503275,1.0307519640852973,0.9968304199190299
2,1,0,external,variable,NA,right,left,different,2.8,3,2,1,0.5734210014343262,-0.24203979094249833,1.8899361371710657,1.748047287158214,1,2.8,0,1,0,-1.01525955503275,1.0307519640852973,0.9968304199190299
2,1,0,external,variable,NA,left,right,different,1,2,2,1,0.4131927490234375,-0.3876067327689194,-0.2762706212075797,2.461702459001011,1,1,0,1,0,-1.01525955503275,1.0307519640852973,-0.9968304199190299
2,1,0,external,variable,NA,left,right,different,1,3,2,1,0.4153987765312195,-0.3818345016596908,-0.2464462199261377,2.410647224437315,1,1,0,1,0,-1.01525955503275,1.0307519640852973,-0.9968304199190299
2,1,0,external,variable,NA,left,right,different,2.8,2,2,1,0.44328799247741696,-0.35651081235078913,0.13060219169611226,2.287932631095053,1,2.8,0,1,0,-1.01525955503275,1.0307519640852973,0.9968304199190299
